Feature,Weight_w,Bias_b,Train_MSE_Cost,Test_MSE_Cost,Test_R2_Score
Adult_mortality,-8.134294998531724,69.64444431464419,6.981427222477847,6.937173498076537,0.8891471986406829
Under_five_deaths,-7.971391207934513,69.64444431464419,9.603909812662156,8.681616675370943,0.8612718091799969
Infant_deaths,-7.802929204697278,69.6444443146442,12.260073341797217,10.955351569104721,0.8249385846197773
GDP_per_capita,7.0004863651989435,69.64444431464419,24.133558877848326,18.341578361699845,0.7069101207704248
Schooling,6.510086748760094,69.64444431464419,30.75612166284199,26.397358285615958,0.5781825097415453
Polio,5.671774135834848,69.64444431464419,40.96367896192655,33.9782290274253,0.4570437262434166
Diphtheria,5.628932378352585,69.64444431464419,41.4476006261562,35.72485024384081,0.42913353273204446
BMI,5.216562860042247,69.64444431464419,45.917915700264004,36.86321032634217,0.41094306882972353
Incidents_HIV,-5.3180108383923566,69.64444431464419,44.84969115442038,39.16661182845664,0.3741357856854509
Economy_status_Developed,11.510605931241894,67.18233965303139,51.76334995865595,43.82582364364334,0.29968375100834777
Thinness_ten_nineteen_years,-4.306982511950232,69.64444431464419,54.57640080723891,44.78397236123742,0.28437298077986917
Thinness_five_nine_years,-4.282820134717016,69.64444431464419,54.78385634715286,46.774056013000006,0.2525723709495932
Alcohol_consumption,3.674835231780833,69.64444431464419,59.6197875332378,50.18468241761961,0.19807214957744967
Measles,4.430941437543189,69.64444431464419,53.49375037329384,50.1847949266735,0.19807035173517218
Hepatitis_B,3.849894689230544,69.64444431464419,58.303112242922886,50.71632663413342,0.18957672262245484
Region_European Union,9.783623754561168,68.1208730546762,61.053702062397036,52.51725599806192,0.16079871020903014
Year,0.9503256839112604,69.6444443146442,72.21534436119725,60.86542447517203,0.027398866286460044
Region_Middle East,4.842524191954319,69.26782754819612,71.64679915276304,61.07816919909298,0.02399930468870104
Region_Rest of Europe,5.740195741872708,69.14366909188868,70.68708740484429,62.053982041457864,0.008406269973836644
Region_North America,3.1030654104542323,69.5949459859073,72.45176956449777,62.12813166734497,0.007221393488967109
Region_South America,3.980964790429818,69.36305022877337,72.32143705444209,62.997505458371094,-0.00667079476181498
Population_mln,-0.32573105193485236,69.64444431464419,73.0119996106143,63.012373733500084,-0.006908382873152652
Region_Oceania,1.1445572948193812,69.56280049619018,73.25486308214425,63.063710818529444,-0.007728725580554041
Region_Asia,0.7258250524322746,69.50357772189457,73.22614698762295,63.33944753867463,-0.01213486993807944
Region_Central America and Caribbean,4.146503256924581,69.2006636995957,72.05017558354575,63.516273187445464,-0.014960461445032491
