Feature,Weight_w,Bias_b,Train_MSE_Cost,Test_MSE_Cost,Test_R2_Score
Adult_mortality,-8.13429501383218,69.64444444444445,6.98142722247783,6.937173465293443,0.8891471991645414
Under_five_deaths,-7.971391222928544,69.64444444444445,9.60390981266214,8.681616630704504,0.8612718098937457
Infant_deaths,-7.802929219374441,69.64444444444445,12.260073341797199,10.955351511361947,0.82493858554248
GDP_per_capita,7.000486378366727,69.64444444444445,24.13355887784831,18.341578315251358,0.70691012151265
Schooling,6.510086761005436,69.64444444444445,30.756121662841974,26.397358269462252,0.578182509999674
Polio,5.671774146503353,69.64444444444445,40.96367896192652,33.97822891784846,0.4570437279944033
Diphtheria,5.62893238894049,69.64444444444445,41.44760062615619,35.7248501171241,0.4291335347569186
BMI,5.216562869854503,69.64444444444445,45.917915700264,36.863210316640945,0.41094306898474464
Incidents_HIV,-5.318010848395429,69.64444444444445,44.84969115442037,39.16661174557214,0.3741357870099066
Economy_status_Developed,11.286792200854737,67.23906249999999,51.754868141789466,43.7481999517053,0.3009241414505891
Thinness_ten_nineteen_years,-4.306982520051587,69.64444444444445,54.5764008072389,44.78397225357006,0.2843729825003434
Thinness_five_nine_years,-4.282820142772919,69.64444444444445,54.78385634715286,46.77405591410545,0.2525723725298822
Alcohol_consumption,3.6748352386931304,69.64444444444445,59.61978753323778,50.184682282808495,0.19807215173166848
Measles,4.430941445877703,69.64444444444445,53.493750373293835,50.18479484005766,0.1980703531192528
Hepatitis_B,3.8498946964721217,69.64444444444445,58.30311224292288,50.71632650775327,0.18957672464195063
Region_European Union,9.592281461691096,68.15493261455525,61.04888079232661,52.46416990458532,0.16164700125677967
Year,0.9503256856988022,69.64444444444446,72.21534436119722,60.86542428809165,0.02739886927591728
Region_Middle East,4.548238778235877,69.29234945705825,71.6406108186525,61.07504071767098,0.02404929636466613
Region_North America,8.209583333333399,69.5098611111111,72.03129159709573,61.566813823583054,0.016190991186247117
Region_Rest of Europe,5.536583671710706,69.16289276807981,70.68379288232656,61.99473638505619,0.009352987968177962
Region_South America,3.524820331480443,69.39725759059746,72.3078641063626,62.893652335466875,-0.005011270229663856
Region_Asia,-0.1802548312776199,69.67383025027203,73.11361860587512,62.96320270826175,-0.0061226527923221585
Population_mln,-0.32573105254754686,69.64444444444445,73.0119996106143,63.0123735643893,-0.006908380170840944
Region_Oceania,-0.40280214424951366,69.67085769980507,73.10811035792527,63.03719301808828,-0.007304983480748595
Region_Central America and Caribbean,3.4413667757179547,69.2824427480916,72.00331663134254,63.14316631209846,-0.008998387359656856
